Fighter;Result;Opponent;Method;Date;Fight Number
Karl Roberson;def.;Wellington Turman;Decision;July 13, 2019;9
Marvin Vettori;def.;Cezar Ferreira;Decision;July 13, 2019;8
John Allan;def.;Mike Rodriguez;Decision;July 13, 2019;7
Andre Fili;def.;Sheymon Moraes;KO;July 13, 2019;6
Julianna Peña;def.;Nicco Montaño;Decision;July 13, 2019;5
Ryan Hall;def.;Darren Elkins;Decision;July 13, 2019;4
Jonathan Martinez;def.;Pingyuan Liu;KO;July 13, 2019;3
Brianna Van Buren;def.;Lívia Renata Souza;Decision;July 13, 2019;2
Benito Lopez;def.;Vince Morales;Decision;July 13, 2019;1
Jon Jones;def.;Thiago Santos;Decision;July 6, 2019;12
Amanda Nunes;def.;Holly Holm;TKO;July 6, 2019;11
Jorge Masvidal;def.;Ben Askren;KO;July 6, 2019;10
Jan Błachowicz;def.;Luke Rockhold;KO;July 6, 2019;9
Michael Chiesa;def.;Diego Sanchez;Decision;July 6, 2019;8
Arnold Allen;def.;Gilbert Melendez;Decision;July 6, 2019;7
Marlon Vera;def.;Nohelin Hernandez;Submission;July 6, 2019;6
Cláudia Gadelha;def.;Randa Markos;Decision;July 6, 2019;5
Yadong Song;def.;Alejandro Pérez;KO;July 6, 2019;4
Edmen Shahbazyan;def.;Jack Marshman;Submission;July 6, 2019;3
Chance Rencountre;def.;Ismail Naurdiev;Decision;July 6, 2019;2
Julia Avila;def.;Pannie Kianzad;Decision;July 6, 2019;1
Francis Ngannou;def.;Junior dos Santos;TKO;June 29, 2019;12
Joseph Benavidez;def.;Jussier Formiga;TKO;June 29, 2019;11
Demian Maia;def.;Anthony Rocco Martin;Decision;June 29, 2019;10
Vinc Pichel;def.;Roosevelt Roberts;Decision;June 29, 2019;9
Drew Dober;def.;Marco Polo Reyes;TKO;June 29, 2019;8
Alonzo Menifield;def.;Paul Craig;KO;June 29, 2019;7
Ricardo Ramos;def.;Journey Newson;Decision;June 29, 2019;6
Eryk Anders;def.;Vinicius Moreira;KO;June 29, 2019;5
Jared Gordon;def.;Dan Moret;Decision;June 29, 2019;4
Dalcha Lungiambula;def.;Dequan Townsend;TKO;June 29, 2019;3
Amanda Ribas;def.;Emily Whitmire;Submission;June 29, 2019;2
Maurice Greene;def.;Júnior Albini;TKO;June 29, 2019;1
Chan Sung Jung;def.;Renato Moicano;TKO;June 22, 2019;11
Randy Brown;def.;Bryan Barberena;TKO;June 22, 2019;10
Andre Ewell;def.;Anderson dos Santos;Decision;June 22, 2019;9
Andrea Lee;def.;Montana De La Rosa;Decision;June 22, 2019;8
Kevin Holland;def.;Alessio Di Chirico;Decision;June 22, 2019;7
Dan Ige;def.;Kevin Aguilar;Decision;June 22, 2019;6
Ashley Yoder;def.;Syuri Kondo;Decision;June 22, 2019;5
Luis Peña;def.;Matt Wiman;TKO;June 22, 2019;4
Jairzinho Rozenstruik;def.;Allen Crowder;KO;June 22, 2019;3
Molly McCann;def.;Ariane Lipski;Decision;June 22, 2019;2
Deron Winn;def.;Eric Spicely;Decision;June 22, 2019;1
Henry Cejudo;def.;Marlon Moraes;TKO;June 8, 2019;13
Valentina Shevchenko;def.;Jessica Eye;KO;June 8, 2019;12
Tony Ferguson;def.;Donald Cerrone;TKO;June 8, 2019;11
Petr Yan;def.;Jimmie Rivera;Decision;June 8, 2019;10
Blagoy Ivanov;def.;Tai Tuivasa;Decision;June 8, 2019;9
Tatiana Suarez;def.;Nina Ansaroff;Decision;June 8, 2019;8
Aljamain Sterling;def.;Pedro Munhoz;Decision;June 8, 2019;7
Alexa Grasso;def.;Karolina Kowalkiewicz;Decision;June 8, 2019;6
Calvin Kattar;def.;Ricardo Lamas;KO;June 8, 2019;5
Xiaonan Yan;def.;Angela Hill;Decision;June 8, 2019;4
Darren Stewart;def.;Bevon Lewis;Decision;June 8, 2019;3
Eddie Wineland;def.;Grigory Popov;KO;June 8, 2019;2
Katlyn Chookagian;def.;Joanne Calderwood;Decision;June 8, 2019;1
Anthony Smith;def.;Alexander Gustafsson;Submission;June 1, 2019;12
Aleksandar Rakić;def.;Jimi Manuwa;KO;June 1, 2019;11
Makwan Amirkhani;def.;Chris Fishgold;Submission;June 1, 2019;10
Christos Giagos;def.;Damir Hadžović;Decision;June 1, 2019;9
Daniel Teymur;def.;Sung Bin Jo;Decision;June 1, 2019;8
Sergey Khandozhko;def.;Rostem Akman;Decision;June 1, 2019;7
Lina Länsberg;def.;Tonya Evinger;Decision;June 1, 2019;6
Leonardo Santos;def.;Stevie Ray;KO;June 1, 2019;5
Frank Camacho;def.;Nick Hein;TKO;June 1, 2019;4
Bea Malecki;def.;Duda Santana;Submission;June 1, 2019;3
Devin Clark;def.;Darko Stošić;Decision;June 1, 2019;2
Joel Alvarez;def.;Danilo Belluardo;TKO;June 1, 2019;1
Rafael dos Anjos;def.;Kevin Lee;Submission;May 18, 2019;13
Ian Heinisch;def.;Antônio Carlos Júnior;Decision;May 18, 2019;12
Felicia Spencer;def.;Megan Anderson;Submission;May 18, 2019;11
Vicente Luque;def.;Derrick Krantz;TKO;May 18, 2019;10
Charles Oliveira;def.;Nik Lentz;TKO;May 18, 2019;9
Davi Ramos;def.;Austin Hubbard;Decision;May 18, 2019;8
Aspen Ladd;def.;Sijara Eubanks;Decision;May 18, 2019;7
Desmond Green;def.;Charles Jourdain;Decision;May 18, 2019;6
Michel Pereira;def.;Danny Roberts;KO;May 18, 2019;5
Grant Dawson;def.;Michael Trizano;Submission;May 18, 2019;4
Ed Herman;def.;Patrick Cummins;TKO;May 18, 2019;3
Zak Cummings;def.;Trevin Giles;Submission;May 18, 2019;2
Julio Arce;def.;Julian Erosa;KO;May 18, 2019;1
Jéssica Andrade;def.;Rose Namajunas;KO;May 11, 2019;12
Jared Cannonier;def.;Anderson Silva;TKO;May 11, 2019;11
Alexander Volkanovski;def.;José Aldo;Decision;May 11, 2019;10
Laureano Staropoli;def.;Thiago Alves;Decision;May 11, 2019;9
Irene Aldana;def.;Bethe Correia;Submission;May 11, 2019;8
Ryan Spann;def.;Antônio Rogério Nogueira;KO;May 11, 2019;7
Thiago Moisés;def.;Kurt Holobaugh;Decision;May 11, 2019;6
Warlley Alves;def.;Sérgio Moraes;KO;May 11, 2019;5
Clay Guida;def.;B.J. Penn;Decision;May 11, 2019;4
Luana Carolina;def.;Priscila Cachoeira;Decision;May 11, 2019;3
Raoni Barcelos;def.;Carlos Huachin;TKO;May 11, 2019;2
Viviane Araújo;def.;Talita Bernardo;KO;May 11, 2019;1
Donald Cerrone;def.;Al Iaquinta;Decision;May 4, 2019;12
Derek Brunson;def.;Elias Theodorou;Decision;May 4, 2019;11
Shane Burgos;def.;Cub Swanson;Decision;May 4, 2019;10
Merab Dvalishvili;def.;Brad Katona;Decision;May 4, 2019;9
Walt Harris;def.;Serghei Spivac;TKO;May 4, 2019;8
Andrew Sanchez;def.;Marc-André Barriault;Decision;May 4, 2019;7
Macy Chiasson;def.;Sarah Moras;TKO;May 4, 2019;6
Vince Morales;def.;Aiemann Zahabi;Decision;May 4, 2019;5
Nordine Taleb;def.;Kyle Prepolec;Decision;May 4, 2019;4
Matt Sayles;def.;Kyle Nelson;Submission;May 4, 2019;3
Arjan Bhullar;def.;Juan Adams;Decision;May 4, 2019;2
Cole Smith;def.;Mitch Gagnon;Decision;May 4, 2019;1
Jack Hermansson;def.;Ronaldo Souza;Decision;April 27, 2019;13
Greg Hardy;def.;Dmitry Smolyakov;TKO;April 27, 2019;12
Mike Perry;def.;Alex Oliveira;Decision;April 27, 2019;11
Glover Teixeira;def.;Ion Cuțelaba;Submission;April 27, 2019;10
Cory Sandhagen;def.;John Lineker;Decision;April 27, 2019;9
Roosevelt Roberts;def.;Thomas Gifford;Decision;April 27, 2019;8
Takashi Sato;def.;Ben Saunders;TKO;April 27, 2019;7
Augusto Sakai;def.;Andrei Arlovski;Decision;April 27, 2019;6
Carla Esparza;def.;Virna Jandiroba;Decision;April 27, 2019;5
Gilbert Burns;def.;Mike Davis;Submission;April 27, 2019;4
Jim Miller;def.;Jason Gonzalez;Submission;April 27, 2019;3
Angela Hill;def.;Jodie Esquibel;Decision;April 27, 2019;2
Dhiego Lima;def.;Court McGee;Decision;April 27, 2019;1
Alistair Overeem;def.;Aleksei Oleinik;TKO;April 20, 2019;11
Islam Makhachev;def.;Arman Tsarukyan;Decision;April 20, 2019;10
Sergei Pavlovich;def.;Marcelo Golm;KO;April 20, 2019;9
Roxanne Modafferi;def.;Antonina Shevchenko;Decision;April 20, 2019;8
Krzysztof Jotko;def.;Alen Amedovski;Decision;April 20, 2019;7
Movsar Evloev;def.;Seung Woo Choi;Decision;April 20, 2019;6
Sultan Aliev;def.;Keita Nakamura;Decision;April 20, 2019;5
Alexander Yakovlev;def.;Alex da Silva Coelho;Submission;April 20, 2019;4
Shamil Abdurakhimov;def.;Marcin Tybura;TKO;April 20, 2019;3
Michał Oleksiejczuk;def.;Gadzhimurad Antigulov;KO;April 20, 2019;2
Magomed Mustafaev;def.;Rafael Fiziev;TKO;April 20, 2019;1
Dustin Poirier;def.;Max Holloway;Decision;April 13, 2019;13
Israel Adesanya;def.;Kelvin Gastelum;Decision;April 13, 2019;12
Khalil Rountree Jr.;def.;Eryk Anders;Decision;April 13, 2019;11
Dwight Grant;def.;Alan Jouban;Decision;April 13, 2019;10
Nikita Krylov;def.;Ovince Saint Preux;Submission;April 13, 2019;9
Matt Frevola;def.;Jalin Turner;Decision;April 13, 2019;8
Alexandre Pantoja;def.;Wilson Reis;TKO;April 13, 2019;7
Max Griffin;def.;Zelim Imadaev;Decision;April 13, 2019;6
Khalid Taha;def.;Boston Salmon;TKO;April 13, 2019;5
Belal Muhammad;def.;Curtis Millender;Decision;April 13, 2019;4
Montel Jackson;def.;Andre Soukhamthath;Decision;April 13, 2019;3
Poliana Botelho;def.;Lauren Mueller;Decision;April 13, 2019;2
Brandon Davis;def.;Randy Costa;Submission;April 13, 2019;1
Justin Gaethje;def.;Edson Barboza;KO;March 30, 2019;13
Jack Hermansson;def.;David Branch;Submission;March 30, 2019;12
Josh Emmett;def.;Michael Johnson;KO;March 30, 2019;11
Michelle Waterson;def.;Karolina Kowalkiewicz;Decision;March 30, 2019;10
Paul Craig;def.;Kennedy Nzechukwu;Submission;March 30, 2019;9
Sodiq Yusuff;def.;Sheymon Moraes;Decision;March 30, 2019;8
Marina Rodriguez;def.;Jessica Aguilar;Decision;March 30, 2019;7
Desmond Green;def.;Ross Pearson;TKO;March 30, 2019;6
Kevin Aguilar;def.;Enrique Barzola;Decision;March 30, 2019;5
Kevin Holland;def.;Gerald Meerschaert;Decision;March 30, 2019;4
Casey Kenney;def.;Ray Borg;Decision;March 30, 2019;3
Maryna Moroz;def.;Sabina Mazo;Decision;March 30, 2019;2
Alex Perez;def.;Mark De La Rosa;Decision;March 30, 2019;1
Anthony Pettis;def.;Stephen Thompson;KO;March 23, 2019;12
Curtis Blaydes;def.;Justin Willis;Decision;March 23, 2019;11
John Makdessi;def.;Jesús Pinedo;Decision;March 23, 2019;10
Jussier Formiga;def.;Deiveson Figueiredo;Decision;March 23, 2019;9
Luis Peña;def.;Steven Peterson;Decision;March 23, 2019;8
Maycee Barber;def.;JJ Aldrich;TKO;March 23, 2019;7
Bryce Mitchell;def.;Bobby Moffett;Decision;March 23, 2019;6
Marlon Vera;def.;Frankie Saenz;TKO;March 23, 2019;5
Jennifer Maia;def.;Alexis Davis;Decision;March 23, 2019;4
Randa Markos;def.;Angela Hill;Submission;March 23, 2019;3
Chris Gutiérrez;def.;Ryan MacDonald;Decision;March 23, 2019;2
Jordan Espinosa;def.;Eric Shelton;Decision;March 23, 2019;1
Jorge Masvidal;def.;Darren Till;KO;March 16, 2019;12
Leon Edwards;def.;Gunnar Nelson;Decision;March 16, 2019;11
Dominick Reyes;def.;Volkan Oezdemir;Decision;March 16, 2019;10
Nathaniel Wood;def.;José Quiñónez;Submission;March 16, 2019;9
Cláudio Silva;def.;Danny Roberts;Submission;March 16, 2019;8
Jack Marshman;def.;John Phillips;Decision;March 16, 2019;7
Arnold Allen;def.;Jordan Rinaldi;Decision;March 16, 2019;6
Marc Diakiese;def.;Joseph Duffy;Decision;March 16, 2019;5
Saparbek Safarov;def.;Nicolae Negumereanu;Decision;March 16, 2019;4
Dan Ige;def.;Danny Henry;Submission;March 16, 2019;3
Molly McCann;def.;Priscila Cachoeira;Decision;March 16, 2019;2
Mike Grundy;def.;Nad Narimani;TKO;March 16, 2019;1
Junior dos Santos;def.;Derrick Lewis;TKO;March 9, 2019;13
Elizeu Zaleski dos Santos;def.;Curtis Millender;Submission;March 9, 2019;12
Niko Price;def.;Tim Means;TKO;March 9, 2019;11
Blagoy Ivanov;def.;Ben Rothwell;Decision;March 9, 2019;10
Beneil Dariush;def.;Drew Dober;Submission;March 9, 2019;9
Omari Akhmedov;def.;Tim Boetsch;Decision;March 9, 2019;8
Anthony Rocco Martin;def.;Sérgio Moraes;Decision;March 9, 2019;7
Yana Kunitskaya;def.;Marion Reneau;Decision;March 9, 2019;6
Grant Dawson;def.;Julian Erosa;Decision;March 9, 2019;5
Maurice Greene;def.;Jeff Hughes;Decision;March 9, 2019;4
Matt Schnell;def.;Louis Smolka;Submission;March 9, 2019;3
Alex Morono;def.;Zak Ottow;TKO;March 9, 2019;2
Alex White;def.;Dan Moret;Decision;March 9, 2019;1
Jon Jones;def.;Anthony Smith;Decision;March 2, 2019;12
Kamaru Usman;def.;Tyron Woodley;Decision;March 2, 2019;11
Ben Askren;def.;Robbie Lawler;Technical Submission;March 2, 2019;10
Zhang Weili;def.;Tecia Torres;Decision;March 2, 2019;9
Pedro Munhoz;def.;Cody Garbrandt;KO;March 2, 2019;8
Zabit Magomedsharipov;def.;Jeremy Stephens;Decision;March 2, 2019;7
Johnny Walker;def.;Misha Cirkunov;TKO;March 2, 2019;6
Cody Stamann;def.;Alejandro Pérez;Decision;March 2, 2019;5
Diego Sanchez;def.;Mickey Gall;TKO;March 2, 2019;4
Edmen Shahbazyan;def.;Charles Byrd;TKO;March 2, 2019;3
Macy Chiasson;def.;Gina Mazany;TKO;March 2, 2019;2
Hannah Cifers;def.;Polyana Viana;Decision;March 2, 2019;1
Thiago Santos;def.;Jan Błachowicz;TKO;February 23, 2019;13
Stefan Struve;def.;Marcos Rogério de Lima;Submission;February 23, 2019;12
Michał Oleksiejczuk;def.;Gian Villante;TKO;February 23, 2019;11
Liz Carmouche;def.;Lucie Pudilová;Decision;February 23, 2019;10
Petr Yan;def.;John Dodson;Decision;February 23, 2019;9
Magomed Ankalaev;def.;Klidson Abreu;Decision;February 23, 2019;8
Dwight Grant;def.;Carlo Pedersoli Jr.;TKO;February 23, 2019;7
Chris Fishgold;def.;Daniel Teymur;Submission;February 23, 2019;6
Gillian Robertson;def.;Veronica Macedo;Submission;February 23, 2019;5
Damir Hadžović;def.;Polo Reyes;TKO;February 23, 2019;4
Ismail Naurdiev;def.;Michel Prazeres;Decision;February 23, 2019;3
Carlos Diego Ferreira;def.;Rustam Khabilov;Decision;February 23, 2019;2
Damir Ismagulov;def.;Joel Alvarez;Decision;February 23, 2019;1
Francis Ngannou;def.;Cain Velasquez;KO;February 17, 2019;12
Paul Felder;def.;James Vick;Decision;February 17, 2019;11
Cynthia Calvillo;def.;Cortney Casey;Decision;February 17, 2019;10
Kron Gracie;def.;Alex Caceres;Submission;February 17, 2019;9
Vicente Luque;def.;Bryan Barberena;TKO;February 17, 2019;8
Andre Fili;def.;Myles Jury;Decision;February 17, 2019;7
Aljamain Sterling;def.;Jimmie Rivera;Decision;February 17, 2019;6
Manny Bermudez;def.;Benito Lopez;Submission;February 17, 2019;5
Andrea Lee;def.;Ashlee Evans-Smith;Decision;February 17, 2019;4
Nik Lentz;def.;Scott Holtzman;Decision;February 17, 2019;3
Luke Sanders;def.;Renan Barão;KO;February 17, 2019;2
Emily Whitmire;def.;Aleksandra Albu;Submission;February 17, 2019;1
Israel Adesanya;def.;Anderson Silva;Decision;February 10, 2019;11
Lando Vannata;def.;Marcos Rosa Mariano;Submission;February 10, 2019;10
Ricky Simon;def.;Rani Yahya;Decision;February 10, 2019;9
Montana De La Rosa;def.;Nadia Kassem;Submission;February 10, 2019;8
Jimmy Crute;def.;Sam Alvey;TKO;February 10, 2019;7
Devonte Smith;def.;Dong Hyun Ma;TKO;February 10, 2019;6
Shane Young;def.;Austin Arnett;Decision;February 10, 2019;5
Kai Kara-France;def.;Raulian Paiva;Decision;February 10, 2019;4
Kyung Ho Kang;def.;Teruto Ishihara;Technical Submission;February 10, 2019;3
Jalin Turner;def.;Callan Potter;KO;February 10, 2019;2
Jonathan Martinez;def.;Wuliji Buren;Decision;February 10, 2019;1
Marlon Moraes;def.;Raphael Assunção;Submission;February 2, 2019;13
José Aldo;def.;Renato Moicano;TKO;February 2, 2019;12
Demian Maia;def.;Lyman Good;Submission;February 2, 2019;11
Charles Oliveira;def.;David Teymur;Submission;February 2, 2019;10
Johnny Walker;def.;Justin Ledet;TKO;February 2, 2019;9
Lívia Renata Souza;def.;Sarah Frota;Decision;February 2, 2019;8
Markus Perez;def.;Anthony Hernandez;Submission;February 2, 2019;7
Mara Romero Borella;def.;Taila Santos;Decision;February 2, 2019;6
Thiago Alves;def.;Max Griffin;Decision;February 2, 2019;5
Jairzinho Rozenstruik;def.;Júnior Albini;TKO;February 2, 2019;4
Geraldo de Freitas;def.;Felipe Colares;Decision;February 2, 2019;3
Said Nurmagomedov;def.;Ricardo Ramos;TKO;February 2, 2019;2
Rogério Bontorin;def.;Magomed Bibulatov;Decision;February 2, 2019;1
Henry Cejudo;def.;T.J. Dillashaw;TKO;January 19, 2019;13
Allen Crowder;def.;Greg Hardy;DQ;January 19, 2019;12
Gregor Gillespie;def.;Yancy Medeiros;TKO;January 19, 2019;11
Joseph Benavidez;def.;Dustin Ortiz;Decision;January 19, 2019;10
Paige VanZant;def.;Rachael Ostovich;Submission;January 19, 2019;9
Glover Teixeira;def.;Karl Roberson;Submission;January 19, 2019;8
Donald Cerrone;def.;Alexander Hernandez;TKO;January 19, 2019;7
Joanne Calderwood;def.;Ariane Lipski;Decision;January 19, 2019;6
Alonzo Menifield;def.;Vinicius Moreira;TKO;January 19, 2019;5
Cory Sandhagen;def.;Mario Bautista;Submission;January 19, 2019;4
Dennis Bermudez;def.;Te Edwards;Decision;January 19, 2019;3
Geoff Neal;def.;Belal Muhammad;Decision;January 19, 2019;2
Chance Rencountre;def.;Kyle Stewart;Submission;January 19, 2019;1
Jon Jones;def.;Alexander Gustafsson;TKO;December 29, 2018;13
Amanda Nunes;def.;Cris Cyborg;KO;December 29, 2018;12
Michael Chiesa;def.;Carlos Condit;Submission;December 29, 2018;11
Corey Anderson;def.;Ilir Latifi;Decision;December 29, 2018;10
Alexander Volkanovski;def.;Chad Mendes;TKO;December 29, 2018;9
Walt Harris;vs.;Andrei Arlovski;No Contest;December 29, 2018;8
Megan Anderson;def.;Cat Zingano;TKO;December 29, 2018;7
Petr Yan;def.;Douglas Silva de Andrade;TKO;December 29, 2018;6
Ryan Hall;def.;B.J. Penn;Submission;December 29, 2018;5
Nathaniel Wood;def.;Andre Ewell;Submission;December 29, 2018;4
Uriah Hall;def.;Bevon Lewis;KO;December 29, 2018;3
Curtis Millender;def.;Siyar Bahadurzada;Decision;December 29, 2018;2
Montel Jackson;def.;Brian Kelleher;Submission;December 29, 2018;1
Al Iaquinta;def.;Kevin Lee;Decision;December 15, 2018;12
Edson Barboza;def.;Dan Hooker;KO;December 15, 2018;11
Rob Font;def.;Sergio Pettis;Decision;December 15, 2018;10
Charles Oliveira;def.;Jim Miller;Submission;December 15, 2018;9
Zak Ottow;def.;Dwight Grant;Decision;December 15, 2018;8
Drakkar Klose;def.;Bobby Green;Decision;December 15, 2018;7
Joaquim Silva;def.;Jared Gordon;KO;December 15, 2018;6
Jack Hermansson;def.;Gerald Meerschaert;Submission;December 15, 2018;5
Zak Cummings;def.;Trevor Smith;Decision;December 15, 2018;4
Dan Ige;def.;Jordan Griffin;Decision;December 15, 2018;3
Mike Rodriguez;def.;Adam Milstead;TKO;December 15, 2018;2
Juan Adams;def.;Chris de la Rocha;TKO;December 15, 2018;1
Max Holloway;def.;Brian Ortega;TKO;December 8, 2018;13
Valentina Shevchenko;def.;Joanna Jędrzejczyk;Decision;December 8, 2018;12
Gunnar Nelson;def.;Alex Oliveira;Submission;December 8, 2018;11
Hakeem Dawodu;def.;Kyle Bochniak;Decision;December 8, 2018;10
Thiago Santos;def.;Jimi Manuwa;KO;December 8, 2018;9
Nina Ansaroff;def.;Cláudia Gadelha;Decision;December 8, 2018;8
Gilbert Burns;def.;Olivier Aubin-Mercier;Decision;December 8, 2018;7
Jessica Eye;def.;Katlyn Chookagian;Decision;December 8, 2018;6
Elias Theodorou;def.;Eryk Anders;Decision;December 8, 2018;5
Brad Katona;def.;Matthew Lopez;Decision;December 8, 2018;4
Dhiego Lima;def.;Chad Laprise;KO;December 8, 2018;3
Carlos Diego Ferreira;def.;Kyle Nelson;TKO;December 8, 2018;2
Aleksandar Rakić;def.;Devin Clark;TKO;December 8, 2018;1
Junior dos Santos;def.;Tai Tuivasa;TKO;December 2, 2018;12
Maurício Rua;def.;Tyson Pedro;TKO;December 2, 2018;11
Justin Willis;def.;Mark Hunt;Decision;December 2, 2018;10
Anthony Rocco Martin;def.;Jake Matthews;Technical Submission;December 2, 2018;9
Sodiq Yusuff;def.;Suman Mokhtarian;TKO;December 2, 2018;8
Jimmy Crute;def.;Paul Craig;Submission;December 2, 2018;7
Alexey Kunchenko;def.;Yushin Okami;Decision;December 2, 2018;6
Wilson Reis;def.;Ben Nguyen;Decision;December 2, 2018;5
Keita Nakamura;def.;Salim Touahri;Decision;December 2, 2018;4
Kai Kara-France;def.;Elias Garcia;Decision;December 2, 2018;3
Christos Giagos;def.;Mizuto Hirota;Decision;December 2, 2018;2
Damir Ismagulov;def.;Alex Gorgees;Decision;December 2, 2018;1
Francis Ngannou;def.;Curtis Blaydes;TKO;November 24, 2018;12
Alistair Overeem;def.;Sergei Pavlovich;TKO;November 24, 2018;11
Song Yadong;def.;Vince Morales;Decision;November 24, 2018;10
Li Jingliang;def.;David Zawada;TKO;November 24, 2018;9
Alex Morono;def.;Song Kenan;Decision;November 24, 2018;8
Wu Yanan;def.;Lauren Mueller;Submission;November 24, 2018;7
Rashad Coulter;def.;Hu Yaozong;Decision;November 24, 2018;6
Zhang Weili;def.;Jessica Aguilar;Submission;November 24, 2018;5
Liu Pingyuan;def.;Martin Day;Decision;November 24, 2018;4
Yan Xiaonan;def.;Syuri Kondo;Decision;November 24, 2018;3
Kevin Holland;def.;John Phillips;Submission;November 24, 2018;2
Louis Smolka;def.;Su Mudaerji;Submission;November 24, 2018;1
Santiago Ponzinibbio;def.;Neil Magny;KO;November 17, 2018;12
Ricardo Lamas;def.;Darren Elkins;TKO;November 17, 2018;11
Johnny Walker;def.;Khalil Rountree Jr.;KO;November 17, 2018;10
Ian Heinisch;def.;Cezar Ferreira;Decision;November 17, 2018;9
Marlon Vera;def.;Guido Cannetti;Submission;November 17, 2018;8
Cynthia Calvillo;def.;Poliana Botelho;Submission;November 17, 2018;7
Michel Prazeres;def.;Bartosz Fabiński;Submission;November 17, 2018;6
Alexandre Pantoja;def.;Ulka Sasaki;Submission;November 17, 2018;5
Austin Arnett;def.;Humberto Bandenay;Decision;November 17, 2018;4
Laureano Staropoli;def.;Hector Aldana;Decision;November 17, 2018;3
Jesus Pinedo;def.;Devin Powell;Decision;November 17, 2018;2
Nad Narimani;def.;Anderson dos Santos;Decision;November 17, 2018;1
Yair Rodríguez;def.;Chan Sung Jung;KO;November 10, 2018;12
Donald Cerrone;def.;Mike Perry;Submission;November 10, 2018;11
Germaine de Randamie;def.;Raquel Pennington;Decision;November 10, 2018;10
Beneil Dariush;def.;Thiago Moisés;Decision;November 10, 2018;9
Maycee Barber;def.;Hannah Cifers;TKO;November 10, 2018;8
Michael Trizano;def.;Luis Peña;Decision;November 10, 2018;7
Ashley Yoder;def.;Amanda Cooper;Decision;November 10, 2018;6
Bobby Moffett;def.;Chas Skelly;Technical Submission;November 10, 2018;5
